state_accident_id,vehicle_number,body_type
13065628,1,SUBURBAN
13065634,1,SUBURBAN
13065634,2,4 DOOR SEDAN
13065657,1,4 DOOR SEDAN
13065683,1,4 DOOR SEDAN
13065786,1,2 DOOR SEDAN
13065849,1,4 DOOR SEDAN
13065905,1,4 DOOR SEDAN
13066046,1,4 DOOR SEDAN
13066119,1,PICK-UP TRUCK
13066171,1,4 DOOR SEDAN
13066176,1,4 DOOR SEDAN
13066180,1,4 DOOR SEDAN
13066255,1,SUBURBAN
13066255,2,BUS (OMNIBUS)
13066262,1,4 DOOR SEDAN
13066418,1,4 DOOR SEDAN
13066438,2,SUBURBAN
13066438,1,2 DOOR SEDAN
13066494,1,SUBURBAN
13066534,1,SUBURBAN
13066569,1,BUS (OMNIBUS)
13066595,1,SUBURBAN
13066612,1,4 DOOR SEDAN
13066624,1,2 DOOR SEDAN
13066697,1,SUBURBAN
13066697,2,SUBURBAN
13066767,1,PICK-UP TRUCK
13066802,1,PICK-UP TRUCK
13066844,1,4 DOOR SEDAN
13066844,2,SUBURBAN
13066861,1,SUBURBAN
13066907,1,4 DOOR SEDAN
13066907,2,4 DOOR SEDAN
13066907,3,4 DOOR SEDAN
13066937,1,4 DOOR SEDAN
13067264,1,4 DOOR SEDAN
13067266,1,2 DOOR SEDAN
13067281,1,PICK-UP TRUCK
13067356,1,4 DOOR SEDAN
13067356,2,PICK-UP TRUCK
13067366,1,SUBURBAN
13067366,2,SUBURBAN
13067381,1,4 DOOR SEDAN
13067381,2,SUBURBAN
13067402,1,4 DOOR SEDAN
13067492,1,4 DOOR SEDAN
13067492,2,PICK-UP TRUCK
13067568,1,4 DOOR SEDAN
13067587,1,VAN TRUCK
13067607,1,BUS (OMNIBUS)
13067607,2,4 DOOR SEDAN
13067611,1,4 DOOR SEDAN
13067611,2,4 DOOR SEDAN
13067648,1,4 DOOR SEDAN
13067778,1,VAN TRUCK
13067778,2,4 DOOR SEDAN
13067814,1,2 DOOR SEDAN
13067829,1,SUBURBAN
13067829,2,2 DOOR SEDAN
13067917,1,2 DOOR SEDAN
13067923,1,SUBURBAN
13067923,2,4 DOOR SEDAN
13067931,1,4 DOOR SEDAN
13067951,1,2 DOOR SEDAN
13067966,1,SUBURBAN
13067973,1,4 DOOR SEDAN
13068142,1,SUBURBAN
13068142,2,4 DOOR SEDAN
13068221,1,2 DOOR SEDAN
13068221,2,SUBURBAN
13068221,3,4 DOOR SEDAN
13068231,1,4 DOOR SEDAN
13068536,2,SUBURBAN
13068536,1,4 DOOR SEDAN
13068898,3,PICK-UP TRUCK
13068898,2,FIRE
13068898,1,PICK-UP TRUCK
13068924,2,UTILITY TRUCK
13068924,1,4 DOOR SEDAN
13068926,2,4 DOOR SEDAN
13068926,1,PICK-UP TRUCK
13068943,2,VAN TRUCK
13068943,1,CONVERTIBLE
13069000,1,SUBURBAN
13069058,1,CONVERTIBLE
13069058,2,SUBURBAN
13069073,1,4 DOOR SEDAN
13069073,2,4 DOOR SEDAN
13069160,2,4 DOOR SEDAN
13069160,1,PICK-UP TRUCK
13069198,1,SUBURBAN
13069213,1,2 DOOR SEDAN
13069219,1,VAN TRUCK
13069234,1,SUBURBAN
13069294,1,4 DOOR SEDAN
13069331,1,SUBURBAN
13069331,2,4 DOOR SEDAN
13069349,1,4 DOOR SEDAN
13069356,1,4 DOOR SEDAN
13069395,1,PICK-UP TRUCK
13069395,2,CONVERTIBLE
13069418,2,2 DOOR SEDAN
13069418,1,4 DOOR SEDAN
13069429,2,2 DOOR SEDAN
13069429,1,4 DOOR SEDAN
13069531,2,4 DOOR SEDAN
13069531,1,4 DOOR SEDAN
13069553,1,4 DOOR SEDAN
13069553,2,4 DOOR SEDAN
13069604,1,4 DOOR SEDAN
13069604,2,SUBURBAN
13069685,1,SUBURBAN
