,CRN,STREET_NAME
151221,2019018035,EASTON RD
151342,2019075843,SR 0028 SH
151410,2019032247,CHURCH RD
151463,2019094412,BUCKHORN RD
151464,2019094412,SCHOOLHOUSE RD
151504,2019045486,THREE MILE HILL RD
151520,2019057676,BROTHERTON RD
151562,2019089471,BLACKHAWK RD
151563,2019089471,OLD BLACKHAWK RD
151564,2019089471,GEORGETOWN RD
151575,2019047175,MANOR AV
151576,2019047175,PENNSYLVANIA AV
151584,2019040840,MAIN ST
151585,2019040840,SEVENTH AV
151632,2019048358,PARK RD
151633,2019048358,WESNER RD
151635,2019129662,NUTT RD
151655,2019134706,4TH ST
151699,2019110497,CHICHESTER AV
151769,2019082806,DOUBLING GAP RD
151796,2019072542,OLD WELSH RD
151797,2019072542,OLD WELSH RD
151798,2019072542,RESERVOIR AV
151804,2019028525,BEECH GLEN RD
151959,2019063732,WILLIAMS ST
151960,2019063732,LATHROP ST
151975,2019057392,N 5TH ST
152028,2019029126,SR 0072 SH
152029,2019029126,MOONSHINE RD
152105,2019086915,ANTHONY HW
152106,2019086915,SLABTOWN RD
152127,2019075138,KELLY DR
152143,2019084020,QUEEN ST
152157,2019081216,TABOR AV
152179,2019039194,US 202 PY
152231,2019067940,EIGHTH AV
152232,2019067940,RAMP TO RANKIN BR
152233,2019067940,RAMP FR RANKIN BR
152234,2019067940,RANKIN BR
152360,2019104017,CAMPSITE RD
152381,2019006063,71ST AV
152382,2019006063,19TH ST
152395,2019038929,SR 0286 RD
152435,2019083325,ALLEGHENY AV
152436,2019083325,THIRD ST
152483,2019053895,VO TECH DR
152515,2019088962,NINTH ST
152516,2019088962,EDGMONT AV
152517,2019088962,EDGMONT AV
152518,2019088962,AVENUE OF THE ST
152559,2019031953,FRANKFORD AV
152560,2019031953,FRANKFORD AV
152561,2019031953,ALDINE ST
152603,2019020297,WARREN AV
152604,2019020297,PROVIDENCE RD
152605,2019020297,WARREN AV
