crash_id,veh_num,make,model,body_type
201901028747,1,2019 NISS,ALT,Passenger
201901031415,1,1996 CHEV,TK ,Pickup
201901028937,2,2014 DODG,CVN,Van/Mini-Van
201901030988,1,2009 CHEV,SLV,Pickup
201901031363,1,2006 CHEV,(UNK),Pickup
201901030748,1,2014 VOLK,JET,Passenger
201901030988,2,2008 CHEV,TOE,SUV
201901029481,1,(UNK) UNKN,(UNK),Unknown
201901031945,1,2019 NISS,PTH,Passenger
201901031448,2,2003 FRHT,UNK,Tractor With Semi-Trailer
201901029670,2,2002 SUZI,EST,Passenger
201901032078,1,2005 CADI,SRX,Passenger
201901031809,1,(UNK) UNKN,(UNK),Unknown
201901032196,1,1994 CHEV,4CC,Pickup
201901032255,1,2010 FORD,FUS,Passenger
201901032383,1,2007 PONT,G6G,Passenger
201901031363,2,2014 DODG,CVN,Van/Mini-Van
201901032320,1,2014 LINC,MKT,Passenger
201901032420,2,2017 FORD,XPL,SUV
201901031151,1,2014 BMW ,528,Passenger
201901032557,1,2006 TOYT,TUN,Pickup
201901030228,3,2017 FORD,XPL,Passenger
201901031633,2,2002 (UNK),(UNK),Truck Single Unit
201901031810,1,2018 NISS,(UNK),Passenger
201901032078,2,2016 DODG,CVN,Van/Mini-Van
201901030304,1,2007 CHEV,AVO,Passenger
201901031810,2,2008 GMC ,ACA,Passenger
